,pos,neg,senti_score,label
258,11,19,-8,0.0
259,4,5,-1,0.0
260,12,7,5,1.0
261,1,5,-4,0.0
262,11,10,1,1.0
263,11,9,2,1.0
264,3,3,0,1.0
265,5,8,-3,0.0
266,4,7,-3,0.0
267,5,4,1,1.0
268,12,17,-5,0.0
269,11,11,0,1.0
270,6,5,1,1.0
271,17,17,0,1.0
272,1,3,-2,0.0
273,15,13,2,1.0
274,11,7,4,1.0
275,5,1,4,1.0
276,9,8,1,1.0
277,7,5,2,1.0
278,5,2,3,1.0
279,22,28,-6,0.0
280,7,11,-4,0.0
281,4,1,3,1.0
282,1,0,1,1.0
283,15,7,8,1.0
284,0,3,-3,0.0
285,1,1,0,1.0
286,4,3,1,1.0
287,1,3,-2,0.0
288,0,2,-2,0.0
289,4,1,3,1.0
290,6,5,1,1.0
291,9,9,0,1.0
292,13,11,2,1.0
293,4,4,0,1.0
294,5,4,1,1.0
295,15,18,-3,0.0
296,7,5,2,1.0
297,7,14,-7,0.0
298,2,1,1,1.0
299,6,10,-4,0.0
300,0,0,0,1.0
301,8,8,0,1.0
302,18,11,7,1.0
303,2,0,2,1.0
304,5,9,-4,0.0
305,3,4,-1,0.0
306,11,7,4,1.0
307,3,2,1,1.0
308,11,13,-2,0.0
309,1,1,0,1.0
310,5,1,4,1.0
311,11,8,3,1.0
312,4,3,1,1.0
313,11,8,3,1.0
314,3,6,-3,0.0
315,4,9,-5,0.0
316,3,2,1,1.0
317,0,0,0,1.0
318,10,18,-8,0.0
319,15,15,0,1.0
320,12,11,1,1.0
321,2,3,-1,0.0
322,3,5,-2,0.0
323,18,19,-1,0.0
324,16,13,3,1.0
325,4,11,-7,0.0
326,19,20,-1,0.0
327,2,5,-3,0.0
328,7,8,-1,0.0
329,2,0,2,1.0
330,0,0,0,1.0
331,13,10,3,1.0
332,1,0,1,1.0
333,8,13,-5,0.0
334,3,1,2,1.0
335,23,23,0,1.0
336,2,0,2,1.0
337,5,1,4,1.0
338,8,8,0,1.0
339,14,24,-10,0.0
340,7,12,-5,0.0
341,17,15,2,1.0
342,5,2,3,1.0
343,10,9,1,1.0
344,2,1,1,1.0
345,1,2,-1,0.0
346,4,3,1,1.0
347,7,12,-5,0.0
348,4,10,-6,0.0
349,12,20,-8,0.0
350,17,15,2,1.0
351,2,2,0,1.0
352,15,10,5,1.0
353,7,9,-2,0.0
354,5,8,-3,0.0
355,7,9,-2,0.0
356,10,9,1,1.0
357,1,3,-2,0.0
358,2,3,-1,0.0
359,21,15,6,1.0
360,0,2,-2,0.0
361,10,13,-3,0.0
362,11,8,3,1.0
363,19,10,9,1.0
364,1,2,-1,0.0
365,5,8,-3,0.0
366,10,7,3,1.0
367,7,8,-1,0.0
368,2,2,0,1.0
369,8,8,0,1.0
370,6,6,0,1.0
371,2,2,0,1.0
372,6,8,-2,0.0
373,7,9,-2,0.0
374,3,8,-5,0.0
375,5,6,-1,0.0
376,15,20,-5,0.0
377,9,6,3,1.0
378,2,1,1,1.0
379,10,3,7,1.0
380,24,17,7,1.0
381,5,5,0,1.0
382,8,8,0,1.0
383,0,1,-1,0.0
384,3,7,-4,0.0
385,16,13,3,1.0
386,13,19,-6,0.0
387,7,5,2,1.0
388,18,8,10,1.0
389,13,4,9,1.0
390,4,8,-4,0.0
391,0,9,-9,0.0
392,25,17,8,1.0
393,5,7,-2,0.0
394,16,14,2,1.0
395,13,17,-4,0.0
396,15,15,0,1.0
397,10,10,0,1.0
398,7,11,-4,0.0
399,5,4,1,1.0
400,2,8,-6,0.0
401,5,2,3,1.0
402,16,23,-7,0.0
403,15,16,-1,0.0
404,1,5,-4,0.0
405,1,3,-2,0.0
406,10,7,3,1.0
407,9,15,-6,0.0
408,8,9,-1,0.0
409,12,8,4,1.0
410,8,10,-2,0.0
411,11,8,3,1.0
412,16,16,0,1.0
413,7,16,-9,0.0
414,8,8,0,1.0
415,4,4,0,1.0
416,7,8,-1,0.0
417,10,12,-2,0.0
418,0,0,0,1.0
419,10,12,-2,0.0
420,1,1,0,1.0
421,3,2,1,1.0
422,0,1,-1,0.0
423,16,9,7,1.0
424,8,10,-2,0.0
425,9,6,3,1.0
426,15,12,3,1.0
427,5,0,5,1.0
428,3,11,-8,0.0
429,8,10,-2,0.0
430,6,12,-6,0.0
431,0,2,-2,0.0
432,13,10,3,1.0
433,4,2,2,1.0
434,15,14,1,1.0
435,7,8,-1,0.0
436,0,1,-1,0.0
437,19,17,2,1.0
438,17,11,6,1.0
439,5,4,1,1.0
440,7,3,4,1.0
441,18,14,4,1.0
442,13,6,7,1.0
443,7,3,4,1.0
444,4,7,-3,0.0
445,4,0,4,1.0
446,15,11,4,1.0
447,18,19,-1,0.0
448,19,22,-3,0.0
449,1,2,-1,0.0
450,10,6,4,1.0
451,3,5,-2,0.0
452,20,13,7,1.0
453,12,9,3,1.0
454,9,5,4,1.0
455,7,8,-1,0.0
456,7,9,-2,0.0
457,8,10,-2,0.0
458,16,20,-4,0.0
459,14,15,-1,0.0
460,1,3,-2,0.0
461,14,11,3,1.0
462,7,1,6,1.0
463,18,13,5,1.0
464,6,6,0,1.0
465,3,2,1,1.0
466,0,4,-4,0.0
467,2,1,1,1.0
468,1,0,1,1.0
469,8,10,-2,0.0
470,2,4,-2,0.0
471,19,22,-3,0.0
472,8,2,6,1.0
473,2,0,2,1.0
474,10,3,7,1.0
475,4,1,3,1.0
476,3,2,1,1.0
477,5,7,-2,0.0
478,10,9,1,1.0
479,10,6,4,1.0
480,7,6,1,1.0
481,5,6,-1,0.0
482,2,2,0,1.0
483,2,3,-1,0.0
484,11,4,7,1.0
485,4,6,-2,0.0
486,1,2,-1,0.0
487,9,3,6,1.0
488,6,12,-6,0.0
489,2,0,2,1.0
490,7,1,6,1.0
491,36,25,11,1.0
492,2,2,0,1.0
493,12,7,5,1.0
494,3,0,3,1.0
495,6,4,2,1.0
496,5,6,-1,0.0
497,8,11,-3,0.0
498,7,7,0,1.0
499,5,3,2,1.0
500,1,1,0,1.0
501,5,6,-1,0.0
502,10,3,7,1.0
503,2,3,-1,0.0
504,0,0,0,1.0
505,12,12,0,1.0
506,1,0,1,1.0
507,0,0,0,1.0
508,3,3,0,1.0
509,9,6,3,1.0
510,3,2,1,1.0
511,5,6,-1,0.0
512,3,5,-2,0.0
513,1,0,1,1.0
514,5,11,-6,0.0
515,3,2,1,1.0
516,2,0,2,1.0
517,3,4,-1,0.0
518,1,0,1,1.0
519,1,2,-1,0.0
520,14,9,5,1.0
