,MNTN_CODE,MNTN_NM,PMNTN_NM,PMNTN_MAIN,PMNTN_LT,PMNTN_DFFL,PMNTN_UPPL,PMNTN_GODN
1891,483300104,알프스태극종주,상북면 이천리-상북면 간월산구간,간월사지 석조 여래자상/단지성,49.21,쉬움,868,608
1892,483300204,알프스환종주,밀양시 산외면-밀양신 산내면구간,밀양손씨정려비,98.87,쉬움,1745,1221
1893,282450101,앞메산,계양구 목상동구간, ,0.33,쉬움,6,4
1894,272000301,앞산, , ,0.21,쉬움,4,3
1895,491107004,앞오름,송당리구간, ,0.2,쉬움,4,2
1896,421105804,애막골,거두리구간, ,0.71,쉬움,13,9
1897,461501801,앵무산,산수리구간, ,0.16,쉬움,3,2
1898,447901501,앵봉산,천내리구간, ,2.86,쉬움,50,35
1899,483104201,앵산,석포리구간, ,1.95,쉬움,73,51
1900,482505001,야훼동산,신천리구간, ,2.86,쉬움,72,50
1901,277104201,약산,상리구간, ,0.07,쉬움,1,1
1902,282001301,약산,간석동구간, ,0.04,쉬움,1,0
1903,441502301,약산,화월리구간, ,5.22,쉬움,92,64
1904,471702701,약산, , ,2.94,쉬움,52,36
1905,427204701,약수봉,덕치리구간, ,1.6,쉬움,28,20
1906,428100503,약수숲길,현리구간, ,16.58,쉬움,293,205
1907,441801501,양각산,용수리구간, ,0.14,중간,2,2
1908,447102101,양각산,어재리구간, ,2.73,쉬움,82,57
1909,488803201,양각산,양각산-회남재구간, ,0.28,쉬움,5,3
1910,267102101,양달산,안평리구간, ,0.1,쉬움,2,1
1911,287200901,양로봉,옹진군 영흥면 외리-옹진군 영흥면 6리구간, ,0.25,쉬움,4,3
1912,413700701,양산봉, , ,0.12,쉬움,2,1
1913,431103701,양성산,문산리구간, ,0.85,쉬움,21,15
1914,461100701,양을산, , ,0.02,쉬움,1,0
1915,418302701,양자산, , ,0.51,쉬움,9,6
1916,301104804,양정앞산,대별동구간, ,0.25,쉬움,4,3
1917,437501101,양천산,옥성리구간, ,0.54,쉬움,10,7
1918,471104801,양학산,이동구간, ,0.36,쉬움,6,4
1919,427302301,어답산,삼거리구간, ,1.94,쉬움,73,51
1920,491101604,어도오름,오도오름구간, ,0.27,쉬움,5,3
1921,292000601,어등산, , ,0.96,쉬움,17,12
1922,478504104,어로리등산로,어로리구간, ,2.14,쉬움,38,26
1923,472802401,어룡산,어룡산구간,관광사격장,7.76,쉬움,146,102
1924,471304001,어림산,덕정리구간, ,2.78,쉬움,49,34
1925,418302901,어비산,가일리구간, ,0.09,쉬움,2,1
1926,447701101,어성산,대등리구간, ,0.37,쉬움,7,5
1927,428306504,어성전,어성전리구간, ,1.42,쉬움,36,25
1928,428306604,어성전리,어성전리구간, ,0.5,쉬움,9,6
